guestroom,hotwaterheating,parking,area,furnishingstatus,mainroad,airconditioning,bathrooms,price,basement,stories,prefarea,bedrooms
no,no,1,10360,semi-furnished,yes,no,1,4330824,no,1,yes,2
yes,no,0,5960,unfurnished,yes,no,1,3613643,yes,2,no,3
no,no,0,2880,semi-furnished,yes,no,1,4445404,no,2,yes,3
no,no,0,6360,unfurnished,yes,no,1,4336613,no,2,no,2
no,no,1,3480,semi-furnished,no,no,1,2955217,no,2,no,3
no,no,2,8100,semi-furnished,yes,yes,1,4825230,yes,4,no,4
yes,no,2,6540,furnished,yes,yes,2,8637416,yes,2,yes,4
no,no,0,2787,furnished,yes,no,1,4229172,yes,1,yes,3
no,no,2,6480,unfurnished,yes,yes,2,7556592,no,4,no,3
no,no,1,3600,unfurnished,yes,no,1,3560306,no,2,no,6
no,no,2,3185,furnished,yes,no,1,3366657,yes,1,no,2
no,no,2,4410,semi-furnished,yes,no,3,4940023,yes,2,no,4
no,no,2,9000,semi-furnished,yes,no,1,3140452,no,2,no,3
no,no,2,3650,semi-furnished,yes,no,2,5637426,no,2,no,3
no,no,2,7160,unfurnished,yes,no,1,5954797,yes,1,yes,3
no,yes,0,3584,semi-furnished,yes,no,1,3716770,no,1,no,2
no,no,2,4280,semi-furnished,yes,yes,1,3581873,no,1,no,2
no,no,2,7000,semi-furnished,yes,yes,1,8289296,no,4,no,3
no,no,2,9620,furnished,yes,no,1,6157972,yes,1,yes,3
no,no,2,9166,semi-furnished,yes,yes,1,4682636,yes,1,no,2
no,no,0,2160,semi-furnished,no,no,1,3110313,yes,2,no,3
no,no,0,6050,semi-furnished,yes,no,1,5219246,yes,1,yes,3
yes,no,1,9000,furnished,yes,yes,2,7156896,no,4,yes,4
yes,no,0,5320,semi-furnished,yes,no,1,4461813,yes,2,yes,3
no,no,2,8800,furnished,yes,yes,2,8559932,no,2,no,3
no,no,2,8500,furnished,yes,yes,2,8968873,no,4,no,3
no,no,0,5880,unfurnished,yes,no,1,3500735,no,1,no,2
no,yes,1,13200,furnished,yes,no,1,6830464,yes,1,no,2
no,no,0,4510,semi-furnished,yes,no,2,4639843,yes,2,no,4
yes,no,2,4075,semi-furnished,yes,no,1,4403724,yes,1,no,3
no,no,0,3510,semi-furnished,yes,no,1,4560680,no,2,no,3
no,no,0,2856,furnished,yes,no,1,3729036,no,3,yes,3
no,no,1,6000,semi-furnished,yes,no,2,6368284,no,4,no,4
no,no,2,4500,semi-furnished,no,yes,2,5181846,yes,1,no,4
yes,no,0,6600,furnished,yes,no,1,5120724,yes,1,yes,3
no,no,0,3510,semi-furnished,yes,no,1,4477877,no,3,no,3
yes,no,1,4560,furnished,yes,yes,2,8598788,yes,2,no,3
no,no,1,3480,semi-furnished,yes,no,1,2639734,no,1,no,2
no,no,0,2398,semi-furnished,yes,no,1,3057889,no,1,yes,3
yes,no,0,3500,unfurnished,yes,no,1,2497753,no,1,no,2
no,no,2,7500,semi-furnished,yes,yes,3,10700702,yes,1,yes,3
yes,no,0,6900,unfurnished,yes,no,2,6093124,yes,1,yes,3
no,no,0,6000,semi-furnished,yes,yes,2,7609147,no,3,no,3
no,no,1,6060,semi-furnished,yes,no,1,4053479,yes,1,no,2
no,no,0,3600,furnished,yes,yes,1,4020686,yes,1,yes,3
yes,no,1,6600,unfurnished,yes,yes,2,9028744,yes,2,yes,4
no,no,1,4300,unfurnished,yes,no,2,7468929,yes,2,no,3
yes,no,0,4770,semi-furnished,yes,no,1,4920860,yes,1,no,3
no,no,0,4040,unfurnished,yes,no,1,3441051,no,1,no,2
no,no,3,7500,furnished,yes,yes,2,12263205,yes,2,yes,4
no,no,0,4950,semi-furnished,yes,yes,1,4357372,no,2,no,4
no,no,0,5300,semi-furnished,yes,no,2,3848709,no,2,no,5
yes,no,1,6000,semi-furnished,yes,no,2,7108206,no,2,no,3
yes,yes,0,7686,semi-furnished,yes,no,1,5014920,yes,1,no,3
no,no,0,3264,unfurnished,yes,no,1,2412209,no,1,no,2
yes,no,2,6600,semi-furnished,yes,no,1,6038783,yes,1,yes,3
no,no,0,4050,furnished,yes,no,1,3703805,no,1,no,2
no,no,0,3640,unfurnished,yes,no,2,4152258,yes,2,no,3
no,no,1,5500,semi-furnished,yes,yes,2,8247607,yes,2,yes,4
no,no,2,3880,semi-furnished,yes,no,2,4563681,yes,2,no,3
no,no,2,12900,furnished,yes,no,1,4937611,no,1,no,3
yes,no,0,6000,semi-furnished,yes,yes,2,8361334,yes,4,yes,3
no,no,0,16200,unfurnished,yes,no,3,10298668,no,2,no,5
yes,no,1,7200,furnished,yes,no,1,5134371,yes,2,yes,3
no,no,1,7440,unfurnished,yes,no,2,7559373,no,4,yes,3
no,no,1,3240,semi-furnished,yes,no,1,6041245,no,3,no,4
no,no,2,9000,furnished,yes,yes,2,7851577,no,4,no,4
yes,no,1,2817,furnished,no,no,2,5552504,yes,2,no,4
no,no,0,4840,unfurnished,yes,no,1,2415741,no,2,no,2
no,no,0,6420,furnished,yes,yes,1,6043429,yes,1,yes,3
no,no,0,2145,furnished,yes,no,1,3397202,no,3,yes,3
yes,no,2,6800,furnished,yes,no,1,6052124,yes,1,no,2
no,no,0,3210,unfurnished,yes,no,1,2403584,yes,2,no,3
no,no,0,5400,semi-furnished,yes,no,1,4978117,no,2,no,4
yes,no,2,9800,semi-furnished,yes,no,2,5181617,no,2,no,4
no,no,0,4500,semi-furnished,yes,no,1,3549939,no,1,no,2
no,no,0,4320,semi-furnished,yes,no,1,4690495,no,1,yes,3
yes,no,1,4700,furnished,yes,yes,1,5551804,yes,2,no,4
yes,no,0,8150,semi-furnished,yes,no,2,4972774,yes,1,no,3
no,no,0,4120,unfurnished,yes,no,1,3399188,no,2,no,2
no,no,1,3480,semi-furnished,no,no,1,3237508,no,2,no,4
yes,no,0,4100,semi-furnished,yes,no,2,4627249,yes,1,no,2
yes,no,2,5850,semi-furnished,yes,no,1,4215260,yes,1,no,2
yes,no,1,4785,furnished,yes,yes,1,3387999,yes,2,no,3
no,no,0,4000,unfurnished,yes,yes,1,2617197,no,2,no,3
yes,no,1,6660,semi-furnished,yes,no,2,5596378,yes,2,yes,4
no,no,2,3450,unfurnished,yes,no,1,3366918,yes,1,no,3
no,no,2,7700,unfurnished,yes,no,2,6978346,no,1,no,3
no,no,2,4500,furnished,yes,yes,1,4242330,no,1,no,2
no,no,1,6000,furnished,yes,yes,1,4669945,yes,1,no,2
no,no,0,4260,furnished,yes,yes,1,5153563,yes,2,no,4
no,no,0,5720,unfurnished,yes,yes,1,5081019,no,2,yes,2
no,no,0,3960,furnished,yes,no,1,3949738,no,2,no,3
no,no,1,4040,unfurnished,yes,no,1,3305172,no,1,no,2
no,no,0,4000,unfurnished,yes,no,1,2704018,no,1,no,2
yes,no,0,4800,semi-furnished,yes,no,1,5059796,yes,1,no,2
no,no,1,4000,semi-furnished,yes,yes,2,6647625,yes,2,no,3
yes,yes,1,6615,semi-furnished,yes,no,2,5986952,no,2,no,4
no,no,0,5500,unfurnished,yes,yes,1,4207164,no,2,no,3
no,no,0,5000,furnished,yes,no,1,5496263,no,4,no,3
yes,no,0,4800,furnished,yes,yes,2,6471813,no,4,no,3
yes,no,0,5400,furnished,yes,yes,1,5485954,yes,2,yes,5
no,yes,1,4500,semi-furnished,yes,no,1,3136940,no,2,no,2
no,no,0,3500,semi-furnished,no,no,1,3181926,yes,1,no,2
no,no,0,8250,furnished,yes,no,1,4515129,no,1,no,3
no,no,2,3400,semi-furnished,yes,no,1,4311552,yes,2,yes,3
no,no,0,3060,unfurnished,yes,no,1,3519820,no,1,no,3
no,no,0,4032,furnished,yes,no,1,4319262,yes,1,no,2
yes,no,0,6350,furnished,yes,yes,2,6197124,no,3,no,3
no,no,1,3460,furnished,yes,yes,2,4050792,yes,1,no,3
no,yes,1,4040,furnished,yes,no,1,6705024,yes,2,no,3
no,no,0,4820,semi-furnished,yes,no,1,3799030,no,2,no,3
no,no,0,2475,furnished,yes,no,1,2424736,no,2,no,3
no,no,2,7020,semi-furnished,yes,yes,1,5959363,yes,1,yes,3
no,no,0,4340,semi-furnished,yes,no,1,4004205,no,1,no,3
yes,no,0,3780,semi-furnished,yes,no,1,3880987,yes,2,no,2
no,no,0,12944,unfurnished,yes,no,1,3545704,no,1,no,3
no,no,0,5200,unfurnished,yes,no,1,2903892,no,3,no,4
no,no,0,2610,semi-furnished,no,no,3,4121124,no,2,no,4
no,no,1,3600,unfurnished,no,no,1,2995190,no,2,no,3
no,yes,1,3290,furnished,yes,no,1,3848813,no,1,no,2
no,no,0,2145,furnished,yes,no,1,3233776,yes,2,yes,3
no,no,0,5985,semi-furnished,yes,no,1,4119918,yes,1,no,3
no,yes,1,7482,furnished,yes,no,2,7980140,no,3,yes,3
yes,no,2,6360,furnished,yes,yes,1,5848321,yes,1,yes,3
no,no,0,3520,furnished,yes,no,1,4481936,no,2,yes,2
no,yes,2,3630,semi-furnished,yes,no,2,4059550,no,2,no,3
yes,no,1,6000,furnished,yes,yes,2,7159625,no,4,no,3
no,no,2,8372,unfurnished,yes,yes,1,6007474,no,3,no,3
no,yes,2,5800,semi-furnished,yes,no,1,4220646,no,1,no,3
no,no,0,2953,unfurnished,yes,yes,1,4122274,yes,2,no,3
yes,no,0,3750,semi-furnished,yes,no,1,4381007,yes,1,no,2
no,no,0,3850,unfurnished,yes,no,1,3405210,no,1,no,3
yes,no,0,5136,unfurnished,yes,yes,1,5691452,yes,2,yes,3
no,no,2,4880,unfurnished,yes,no,1,4437698,no,1,yes,3
no,no,0,3792,semi-furnished,yes,no,1,3235268,no,2,no,4
yes,no,2,6000,unfurnished,yes,yes,1,8021178,no,4,no,3
no,no,1,2520,furnished,no,yes,2,3701541,yes,1,no,5
no,no,0,5948,semi-furnished,yes,yes,1,5011411,no,2,no,3
no,no,0,2145,furnished,yes,no,1,3491749,no,3,yes,3
no,no,1,10500,semi-furnished,yes,no,1,5624542,no,1,no,2
yes,no,1,3986,unfurnished,no,no,2,3211236,yes,1,no,2
no,no,1,5500,semi-furnished,yes,no,2,5600600,no,2,no,3
no,no,2,8250,furnished,yes,no,1,3794494,no,1,no,3
no,no,3,5400,semi-furnished,yes,no,1,3989569,no,1,no,3
no,no,0,7320,furnished,yes,no,2,5857192,no,2,no,4
no,no,0,2700,furnished,no,no,1,2963020,no,1,no,2
no,no,1,9000,furnished,yes,no,1,6305729,yes,1,yes,3
no,yes,0,4800,unfurnished,no,no,2,5555397,yes,3,no,5
no,no,1,4000,furnished,yes,no,1,4525782,no,2,no,3
no,no,3,3630,semi-furnished,yes,no,1,2954996,no,2,no,4
yes,no,1,6400,semi-furnished,yes,yes,1,6281740,yes,1,yes,3
no,no,0,1650,unfurnished,no,no,1,3097521,yes,2,no,3
no,no,1,4410,unfurnished,no,no,1,4176512,no,1,no,2
no,no,1,7350,semi-furnished,yes,no,1,3535636,no,1,no,2
no,no,1,6254,semi-furnished,yes,no,2,5906685,yes,1,yes,4
no,no,1,7980,semi-furnished,yes,no,1,5222656,no,1,yes,3
no,no,1,4120,semi-furnished,yes,no,1,4833679,yes,1,no,2
no,no,0,3520,semi-furnished,yes,no,1,4536930,no,1,yes,3
yes,no,0,2176,semi-furnished,yes,no,1,3870804,no,2,yes,2
no,no,2,8080,semi-furnished,yes,yes,1,3975736,no,1,no,3
no,no,1,3512,unfurnished,yes,no,1,3444437,no,1,yes,2
no,no,0,4000,unfurnished,yes,no,1,3485618,no,1,no,2
no,no,0,3450,semi-furnished,yes,no,1,3184921,yes,2,no,3
no,no,2,4320,furnished,yes,no,1,4067994,no,2,yes,3
no,no,2,15600,semi-furnished,yes,yes,1,5925672,no,1,no,3
no,no,0,7152,furnished,yes,yes,1,3799673,no,2,no,3
no,no,1,6321,furnished,yes,yes,1,4734813,yes,2,no,3
no,no,0,3000,semi-furnished,no,no,1,2439795,no,2,no,3
no,no,0,7000,unfurnished,yes,no,1,4861981,yes,2,no,3
no,no,2,11460,semi-furnished,yes,no,1,5875525,no,3,yes,3
no,no,0,4960,unfurnished,yes,no,1,2946333,no,1,no,2
no,no,0,3460,semi-furnished,yes,yes,1,4045635,no,2,no,4
no,no,0,3000,unfurnished,no,no,1,2177413,no,1,no,2
no,no,0,3630,unfurnished,yes,no,1,2916053,no,1,no,2
no,no,0,5400,unfurnished,yes,no,1,2844855,no,2,no,4
no,no,0,4900,unfurnished,no,no,1,3467857,no,2,no,3
yes,no,0,5500,semi-furnished,yes,no,1,3843857,yes,2,no,4
no,no,0,4000,semi-furnished,no,no,2,4137346,no,2,no,4
no,no,0,3640,furnished,yes,no,1,3371733,no,1,no,2
no,no,0,4500,furnished,no,no,1,3603568,no,1,no,2
no,no,0,4500,semi-furnished,no,no,1,3281853,no,1,no,2
no,no,0,4300,furnished,yes,no,2,6187554,no,2,no,6
no,no,2,3180,semi-furnished,yes,no,2,5139387,no,2,no,3
no,no,0,3150,semi-furnished,no,no,2,3795866,yes,1,no,2
no,no,2,4500,furnished,yes,no,2,3623903,yes,2,no,4
no,no,0,3520,semi-furnished,yes,no,2,3577565,yes,1,no,2
no,no,1,4040,semi-furnished,yes,no,1,4150034,no,2,no,2
no,no,2,4400,semi-furnished,yes,yes,1,5507026,no,2,yes,4
no,no,2,4095,semi-furnished,yes,no,1,3134409,no,1,no,2
yes,no,0,4160,unfurnished,yes,yes,1,4618617,yes,1,no,3
no,no,0,3600,unfurnished,yes,no,1,2623415,no,1,no,2
no,no,2,5830,unfurnished,yes,no,1,3803994,no,1,no,2
yes,no,1,6710,furnished,yes,no,2,5301666,yes,2,yes,3
no,no,2,4992,unfurnished,yes,no,2,4006943,no,2,no,3
no,no,2,5400,unfurnished,yes,yes,2,5744314,no,2,no,4
no,no,1,2800,semi-furnished,no,yes,2,5034723,yes,2,no,3
no,no,1,4040,semi-furnished,yes,no,1,4492555,no,2,no,3
no,no,0,3745,furnished,yes,no,1,4669320,yes,2,no,3
yes,no,2,8000,semi-furnished,yes,yes,1,6109448,yes,1,yes,3
yes,no,2,6540,furnished,yes,no,1,6023171,yes,1,yes,3
no,no,1,3640,semi-furnished,yes,no,1,3550178,no,1,no,2
no,no,2,10240,unfurnished,yes,yes,1,4715295,no,1,yes,2
no,no,0,3000,unfurnished,no,yes,1,3111095,no,1,no,3
no,no,0,4000,semi-furnished,yes,no,1,3633369,no,1,yes,2
no,no,0,3350,unfurnished,yes,no,1,3766231,no,2,no,3
no,no,0,6500,unfurnished,yes,yes,2,5964844,no,3,no,3
no,no,1,3360,unfurnished,yes,no,1,2137360,no,1,no,2
yes,no,0,6650,semi-furnished,yes,no,1,4156389,no,2,no,3
no,no,1,2650,unfurnished,yes,no,1,2775067,yes,2,no,3
no,no,0,2835,semi-furnished,yes,no,1,2976721,no,1,no,2
no,no,0,6420,unfurnished,yes,no,1,6187610,yes,3,yes,3
no,no,0,4750,unfurnished,yes,no,1,3398925,no,1,no,2
no,no,0,3600,furnished,yes,no,1,3611696,no,1,no,2
no,no,0,4800,unfurnished,yes,yes,1,5772262,no,3,no,3
no,no,0,3180,unfurnished,yes,no,1,2302129,no,1,no,2
no,no,1,6000,furnished,yes,yes,2,7487055,no,4,no,4
no,no,0,6540,semi-furnished,no,yes,2,5269088,no,2,no,4
no,no,1,8880,furnished,yes,yes,2,6941835,yes,2,no,3
no,no,0,4360,furnished,yes,no,1,4200652,no,2,no,4
no,no,0,8250,furnished,yes,yes,2,6464478,no,3,no,3
no,no,0,3640,furnished,yes,yes,1,4625505,no,2,no,3
no,no,0,11410,furnished,yes,no,1,5174840,no,2,yes,2
no,no,1,5880,unfurnished,yes,no,1,3332357,no,1,no,3
yes,no,0,3150,furnished,yes,yes,2,5509842,yes,1,no,3
no,no,1,6550,semi-furnished,yes,yes,2,9433802,no,2,yes,4
no,no,2,7000,furnished,yes,yes,2,8180626,no,4,no,3
no,yes,2,7950,unfurnished,yes,no,2,8431051,yes,2,no,5
no,no,0,5500,semi-furnished,yes,no,2,5287289,yes,1,no,3
no,no,1,10500,semi-furnished,yes,no,2,5599384,no,2,no,4
no,no,1,3069,unfurnished,yes,no,1,3201201,no,1,no,2
no,no,2,3850,unfurnished,yes,no,1,3504180,no,1,no,3
no,no,0,3420,semi-furnished,yes,no,2,4780025,no,2,no,4
no,no,2,4100,semi-furnished,yes,yes,2,6298436,no,3,no,3
no,no,1,6325,unfurnished,yes,yes,1,7501659,no,4,no,3
no,no,1,3840,semi-furnished,yes,no,1,4665780,no,2,yes,3
no,no,0,3750,unfurnished,yes,no,1,3359250,no,1,no,3
no,no,0,3600,semi-furnished,yes,no,1,3833901,no,1,no,2
yes,no,0,6060,furnished,yes,no,1,3305557,yes,1,no,3
yes,no,2,7085,semi-furnished,yes,no,1,5320346,yes,1,yes,3
no,no,0,3120,furnished,no,no,1,3260289,no,2,no,3
no,no,0,6360,furnished,yes,yes,2,7838487,no,4,yes,3
no,no,1,4000,unfurnished,yes,no,1,2713986,no,2,no,3
no,no,0,4370,unfurnished,yes,no,1,3282679,no,2,no,3
yes,no,0,5800,semi-furnished,yes,yes,1,4821888,yes,1,no,2
no,no,0,3990,semi-furnished,yes,no,1,3482083,no,2,no,3
yes,no,0,2175,unfurnished,no,yes,1,4248750,yes,2,no,3
no,no,0,3480,semi-furnished,yes,no,1,3810946,no,1,yes,2
